iso_name,var_name,site_directed,gisaid_id,genbank_accn,sra_accn,expandable
Jary22_P1_D0,B.1.214.2,FALSE,NULL,OL405044,NULL,TRUE
Jary22_P1_D4,B.1.214.2,FALSE,NULL,OL405045,NULL,TRUE
Jary22_P2_D0,Alpha,FALSE,NULL,OL405046,NULL,TRUE
Jary22_P2_D4,Alpha,FALSE,NULL,OL405047,NULL,TRUE
Jary22_P2_D6,Alpha,FALSE,NULL,OL405048,NULL,TRUE
Jary22_P3_D0,Alpha,FALSE,NULL,OL405049,NULL,TRUE
Jary22_P3_D3,Alpha,FALSE,NULL,OL405050,NULL,TRUE
Jary22_P3_D5,Alpha,FALSE,NULL,OL405051,NULL,TRUE
Jary22_P3_D7,Alpha,FALSE,NULL,OL405052,NULL,TRUE
Jary22_P4_D0,Alpha,FALSE,NULL,OL405053,NULL,TRUE
Jary22_P4_D2,Alpha,FALSE,NULL,OL405054,NULL,TRUE
Jary22_P4_D4,Alpha,FALSE,NULL,OL405055,NULL,TRUE
Jary22_P5_D0,Alpha,FALSE,NULL,OL405056,NULL,TRUE
Jary22_P5_D6,Alpha,FALSE,NULL,OL405057,NULL,TRUE
Jary22_P5_D19,Alpha,FALSE,NULL,OL405058,NULL,TRUE
Jary22_P5_D25,Alpha,FALSE,NULL,OL405059,NULL,TRUE
Jary22_P5_D52,Alpha,FALSE,NULL,OL405060,NULL,TRUE
Jary22_P5_D68,Alpha,FALSE,NULL,OL405061,NULL,TRUE
Jary22_P6_D0,Gamma,FALSE,NULL,OL405062,NULL,TRUE
Jary22_P6_D2,Gamma,FALSE,NULL,OL405063,NULL,TRUE
Jary22_P6_D5,Gamma,FALSE,NULL,OL405064,NULL,TRUE
Jary22_P6_D7,Gamma,FALSE,NULL,OL405065,NULL,TRUE
Jary22_P7_D0,Alpha,FALSE,NULL,OL405066,NULL,TRUE
Jary22_P7_D4,Alpha,FALSE,NULL,OL405067,NULL,TRUE
Jary22_P7_D6,Alpha,FALSE,NULL,OL405068,NULL,TRUE
Jary22_P7_D8,Alpha,FALSE,NULL,OL405069,NULL,TRUE
Jary22_P8_D0,Alpha,FALSE,NULL,OL405070,NULL,TRUE
Jary22_P8_D1,Alpha,FALSE,NULL,OL405072,NULL,TRUE
Jary22_P9_D0,Alpha,FALSE,NULL,OL405073,NULL,TRUE
Jary22_P10_D4,Alpha,FALSE,NULL,OL405074,NULL,TRUE
Jary22_P10_D6,Alpha,FALSE,NULL,OL405075,NULL,TRUE
Jary22_P11_D0,Alpha,FALSE,NULL,OL405076,NULL,TRUE
Jary22_P11_D3,Alpha,FALSE,NULL,OL405077,NULL,TRUE
Jary22_P11_D5,Alpha,FALSE,NULL,OL405078,NULL,TRUE
Jary22_P11_D7,Alpha,FALSE,NULL,OL405079,NULL,TRUE
Jary22_P12_D0,Alpha,FALSE,NULL,OL405080,NULL,TRUE
Jary22_P12_D4,Alpha,FALSE,NULL,OL405081,NULL,TRUE
Jary22_P12_D8,Alpha,FALSE,NULL,OL405082,NULL,TRUE
Jary22_P13_D-1,Alpha,FALSE,NULL,OL405083,NULL,TRUE
Jary22_P13_D0,Alpha,FALSE,NULL,OL405084,NULL,TRUE
