iso_name,var_name,site_directed,gisaid_id,genbank_accn,sra_accn,expandable
hCoV-19/Israel/1481210233/2020,B.1.1.50,FALSE,8996185,NULL,SAMN25691286,TRUE
hCoV-19/Israel/1481253531/2021,B.1.1.50,FALSE,8996194,NULL,SAMN25691295,TRUE
hCoV-19/Israel/1481256675/2020,B.1.1.50,FALSE,8996193,NULL,SAMN25691294,TRUE
hCoV-19/Israel/1481279331/2021,B.1.1.50,FALSE,8996195,NULL,SAMN25691296,TRUE
hCoV-19/Israel/1481293365/2021,B.1.1.50,FALSE,8996196,NULL,SAMN25691297,TRUE
hCoV-19/Israel/1481294775/2021,Alpha,FALSE,8996171,NULL,SAMN25691269,TRUE
hCoV-19/Israel/1481298823/2021,B.1.1.50,FALSE,8996197,NULL,SAMN25691298,TRUE
hCoV-19/Israel/1481300495/2021,B.1.1.50,FALSE,8996198,NULL,SAMN25691299,TRUE
hCoV-19/Israel/1481305817/2021,Alpha,FALSE,8996179,NULL,SAMN25691279,TRUE
hCoV-19/Israel/1481312331/2021,B.1.362,FALSE,8996175,NULL,SAMN25691275,TRUE
hCoV-19/Israel/1481317961/2021,Alpha,FALSE,8996180,NULL,SAMN25691280,TRUE
hCoV-19/Israel/1481320145/2021,Alpha,FALSE,9010725,NULL,SAMN25691270,TRUE
hCoV-19/Israel/1481322313/2021,Alpha,FALSE,9010727,NULL,SAMN25691281,TRUE
hCoV-19/Israel/1481323307/2021,B.1.362,FALSE,8996174,NULL,SAMN25691274,TRUE
hCoV-19/Israel/1481326091/2021,Alpha,FALSE,8996181,NULL,SAMN25691282,TRUE
hCoV-19/Israel/1481331023/2021,B.1.362,FALSE,8996173,NULL,SAMN25691273,TRUE
hCoV-19/Israel/1481332933/2021,Alpha/E484Q,FALSE,8996172,NULL,SAMN25691271,TRUE
hCoV-19/Israel/1481333955/2021,Alpha,FALSE,8996182,NULL,SAMN25691283,TRUE
hCoV-19/Israel/1481337819/2021,Alpha,FALSE,8996183,NULL,SAMN25691284,TRUE
hCoV-19/Israel/1481340749/2021,Alpha/E484Q,FALSE,9010726,NULL,SAMN25691272,TRUE
hCoV-19/Israel/1481343493/2021,Alpha,FALSE,8996184,NULL,SAMN25691285,TRUE
hCoV-19/Israel/1481354969/2021,B.1.362,FALSE,8996176,NULL,SAMN25691276,TRUE
hCoV-19/Israel/1481374389/2021,B.1.362,FALSE,8996178,NULL,SAMN25691278,TRUE
hCoV-19/Israel/1481382623/2020,B.1.1.50,FALSE,8996186,NULL,SAMN25691287,TRUE
hCoV-19/Israel/1481388277/2020,B.1.1.50,FALSE,8996192,NULL,SAMN25691293,TRUE
hCoV-19/Israel/1481393285/2020,B.1.1.50,FALSE,8996187,NULL,SAMN25691288,TRUE
hCoV-19/Israel/1481400883/2020,B.1.1,FALSE,8996188,NULL,SAMN25691289,TRUE
hCoV-19/Israel/1481404277/2020,B.1.1.50,FALSE,8996189,NULL,SAMN25691290,TRUE
hCoV-19/Israel/1481413105/2020,B.1.1.50,FALSE,8996190,NULL,SAMN25691291,TRUE
hCoV-19/Israel/1481418327/2020,B.1.1.50,FALSE,8996191,NULL,SAMN25691292,TRUE
hCoV-19/Israel/1481625671/2021,B.1.362,FALSE,8996177,NULL,SAMN25691277,TRUE
hCoV-19/Israel/15743/2020,B.1.1.50,FALSE,8996200,NULL,SAMN25691302,TRUE
hCoV-19/Israel/1591/2020,B.1.1.50,FALSE,8996201,NULL,SAMN25691303,TRUE
hCoV-19/Israel/18925/2020,B.1.1.50,FALSE,8996199,NULL,SAMN25691301,TRUE
